sample_id,url,label,sample_origin,source_type,label_quality,group_id,capture_date,html_path,quality_status,quality_score,split,training_eligible,url_technique_id,html_technique_id,url_length,host_length,registrable_domain_length,subdomain_count,path_length,path_depth,query_length,query_param_count,fragment_length,digit_ratio,special_ratio,hyphen_count,dot_count,at_count,percent_encoded_count,host_entropy,path_entropy,token_count,token_length_mean,token_length_std,long_random_token_count,suspicious_token_count,is_https,has_ip_host,has_idn_or_punycode,unicode_confusable_count,nonstandard_port,repeated_character_run,redirect_count,cross_domain_redirect_count,html_bytes_log,visible_text_length_log,word_count_log,persian_character_ratio,replacement_character_count,mojibake_marker_count,title_present,title_length_log,title_domain_token_overlap,total_tags_log,max_dom_depth,max_siblings_log,form_count,password_input_count,email_input_count,text_input_count,hidden_input_count,button_count,external_form_action_count,form_action_cross_domain_ratio,internal_link_count_log,external_link_count_log,external_link_ratio,empty_link_count_log,image_count_log,iframe_count,script_count_log,external_script_ratio,stylesheet_count_log,external_stylesheet_ratio,favicon_count,favicon_same_domain,local_asset_ratio,data_uri_count_log,blob_reference_count,eval_count,atob_count,document_write_count,window_location_count,meta_refresh_count,credential_keyword_count_log,captcha_keyword_count_log,network_host_count_log,external_network_host_ratio,has_content_security_policy,has_hsts,has_x_frame_options,domain_age_days_log,domain_age_missing,dns_address_count_log,dns_missing,tls_days_remaining_log,tls_missing,popularity_rank_log,popularity_missing
20260128__akharinkhabar.ir__0771b5e0c4ee__legitimate,https://akharinkhabar.ir/,0,real,legitimate_archive,verified_legitimate,akharinkhabar.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__akharinkhabar.ir__0771b5e0c4ee.html,ok,1.0,calibration,1,,,25.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,2.827819531114783,-0.0,3.0,6.666666666666667,4.642796092394707,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47444956692395,8.13622555490846,6.56244409369372,0.702489019033675,0.0,0.0,1.0,4.110873864173311,0.0,6.996681488176539,16.0,4.454347296253507,1.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,4.61512051684126,1.3862943611198906,0.02912621359223301,0.0,4.844187086458591,1.0,3.970291913552122,0.11538461538461539,2.1972245773362196,0.0,2.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__akharinkhabar.ir__0771b5e0c4ee__phishing,https://xn--khrnkhbr-06gceb20c.xn--r-evb/,1,synthetic,persianphish_generated,generated_phishing,akharinkhabar.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__akharinkhabar.ir__0771b5e0c4ee__T07.html,ok,1.0,calibration,1,T02,T07,41.0,32.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2682926829268293,6.0,1.0,0.0,0.0,3.694548827786958,-0.0,7.0,4.285714285714286,2.9137254363387344,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.491965618497494,8.13622555490846,6.56244409369372,0.702489019033675,0.0,0.0,1.0,4.110873864173311,0.0,6.996681488176539,16.0,4.454347296253507,1.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,4.61512051684126,1.3862943611198906,0.02912621359223301,0.0,4.844187086458591,1.0,3.970291913552122,0.11538461538461539,2.1972245773362196,0.0,2.0,1.0,0.7591973244147158,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__alimir.ir__6948189a78f8__legitimate,https://alimir.ir/,0,real,legitimate_archive,verified_legitimate,alimir.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__alimir.ir__6948189a78f8.html,ok,0.9404,train,1,,,18.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,1.0,0.0,0.0,2.4193819456463714,-0.0,3.0,4.333333333333333,1.699673171197595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.818417358770942,8.014666370464942,6.331501849893691,0.605489417989418,0.0,0.0,1.0,4.060443010546419,0.0,6.226536669287466,14.0,4.204692619390966,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.5,4.276666119016055,1.6094379124341003,0.05333333333333334,1.6094379124341003,2.3978952727983707,1.0,3.1354942159291497,0.13636363636363635,1.3862943611198906,0.0,3.0,1.0,0.9217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__aliyavary.ir__d9c1676f1f22__legitimate,https://aliyavary.ir/,0,real,legitimate_archive,verified_legitimate,aliyavary.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__aliyavary.ir__d9c1676f1f22.html,ok,0.9616,train,1,,,21.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,1.0,0.0,0.0,2.688721875540867,-0.0,3.0,5.333333333333333,2.8674417556808756,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.320371737610024,8.445267451844648,6.827629234502852,0.7396818572656921,0.0,0.0,1.0,4.2626798770413155,0.0,6.289715570908998,22.0,3.5263605246161616,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0943445622221,2.995732273553991,0.24358974358974358,2.0794415416798357,3.6375861597263857,0.0,1.6094379124341003,0.25,1.0986122886681098,0.0,2.0,1.0,0.8290598290598291,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__aliyavary.ir__d9c1676f1f22__phishing,https://account-al1yav4ry.ir/,1,synthetic,persianphish_generated,generated_phishing,aliyavary.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__aliyavary.ir__d9c1676f1f22__T12.html,ok,0.9621,train,1,T03,T12,29.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.20689655172413793,1.0,1.0,0.0,0.0,3.7841837197791883,-0.0,4.0,5.75,2.5860201081971503,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.332685739660542,8.449984441722787,6.8308742346461795,0.7362002567394095,0.0,0.0,1.0,4.2626798770413155,0.0,6.311734809152915,22.0,3.5263605246161616,3.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,4.02535169073515,3.1780538303479458,0.2948717948717949,2.0794415416798357,3.6635616461296463,0.0,1.6094379124341003,0.25,1.0986122886681098,0.0,2.0,1.0,0.7692307692307693,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ams.ac.ir__ef8a958b7ad3__legitimate,https://ams.ac.ir/,0,real,legitimate_archive,verified_legitimate,ams.ac.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__ams.ac.ir__ef8a958b7ad3.html,ok,1.0,train,1,,,18.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,2.725480556997868,-0.0,4.0,3.0,1.224744871391589,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.071206915760015,10.069891425857708,8.339261982923576,0.8003386960203218,0.0,0.0,1.0,3.7612001156935624,0.0,8.3774712482411,30.0,3.4011973816621555,1.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,6.505784060128229,2.302585092994046,0.013293943870014771,4.795790545596741,5.802118375377063,0.0,1.0986122886681098,0.0,1.791759469228055,0.0,1.0,1.0,0.9901477832512315,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ams.ac.ir__ef8a958b7ad3__phishing,https://ams.ac.ir/?qK43v4=aOoLpaT70Z46DolH0wXPPL4dfrR0RLxX&DEM2ec=XuwPL5WIl0Y3Ev4m5zgdD2oGn7f6m8QZ&3y1uUs=AjtkmZ8lKmbnQhzMk3DAVPnRSE6xrNAy&0KuDHy=XZKAud61r8bpJWWAajlSCChGUZRHoqlc&y8v68d=GgW6vzhsCUTeqV8umg9lBJ0A8APtlfxa&JwIGOy=vf2H65k0Jhi4Y4dQhbf277EP8U5l6PM1&Bvri9B=6SZbw6zRz2jcRuU7XRK2XfxsBkKABcud&tuKv0V=26Ty965GdlHuXA9D17n8PHSm5MJBS565,1,synthetic,persianphish_generated,generated_phishing,ams.ac.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ams.ac.ir__ef8a958b7ad3__T15.html,ok,1.0,train,1,T04,T15,338.0,9.0,9.0,0.0,1.0,0.0,319.0,8.0,0.0,0.22151898734177214,0.0650887573964497,0.0,2.0,0.0,0.0,2.725480556997868,-0.0,20.0,15.8,13.283824750424857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.040372105846004,10.069891425857708,8.339261982923576,0.8003386960203218,0.0,0.0,1.0,3.7612001156935624,0.0,8.37770121259764,30.0,3.4011973816621555,1.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,6.505784060128229,2.302585092994046,0.013293943870014771,4.795790545596741,5.802118375377063,0.0,1.3862943611198906,0.0,1.791759469228055,0.0,1.0,1.0,0.9901477832512315,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ana.ir__d7e74f22532a__legitimate,https://ana.ir/,0,real,legitimate_archive,verified_legitimate,ana.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__ana.ir__d7e74f22532a.html,ok,1.0,test,1,,,15.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.2516291673878226,-0.0,3.0,3.3333333333333335,1.247219128924647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27734285653968,11.84204933982167,7.978653729082731,0.06555902542921697,0.0,0.0,1.0,3.091042453358316,0.0,7.987184748233473,21.0,3.58351893845611,2.0,0.0,0.0,2.0,0.0,61.0,0.0,0.0,6.089044875446846,3.091042453358316,0.0455531453362256,1.6094379124341003,4.442651256490317,0.0,3.5263605246161616,0.030303030303030304,2.4849066497880004,0.0,1.0,1.0,0.9608843537414966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ana.ir__d7e74f22532a__phishing,https://upda7e-an4.ir/,1,synthetic,persianphish_generated,generated_phishing,ana.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ana.ir__d7e74f22532a__T10.html,ok,0.85,test,1,T03,T10,22.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.2727272727272727,1.0,1.0,0.0,0.0,3.5465935642949384,-0.0,4.0,4.0,1.5811388300841898,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16320201178614,3.091042453358316,1.3862943611198906,0.9047619047619048,0.0,0.0,1.0,3.091042453358316,0.0,3.6888794541139363,3.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.2,0.6931471805599453,0.0,1.0,1.0,0.7647058823529411,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__asanbar.ir__fd432b010072__legitimate,https://asanbar.ir/,0,real,legitimate_archive,verified_legitimate,asanbar.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__asanbar.ir__fd432b010072.html,ok,1.0,policy,1,,,19.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,1.0,0.0,0.0,2.6464393446710153,-0.0,3.0,4.666666666666667,2.0548046676563256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.756381379914211,12.833872978344603,7.274479558773871,0.01589021500096078,0.0,0.0,1.0,4.343805421853684,0.0,7.783640596221253,41.0,4.762173934797756,1.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0,4.5217885770490405,2.302585092994046,0.09,2.0794415416798357,3.8066624897703196,2.0,4.394449154672439,0.0,3.784189633918261,0.0,3.0,1.0,0.9076923076923077,3.4011973816621555,0.0,0.0,0.0,2.0,0.0,0.0,1.791759469228055,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__asanbar.ir__fd432b010072__phishing,https://xn--sanbar-2nf.ir/,1,synthetic,persianphish_generated,generated_phishing,asanbar.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__asanbar.ir__fd432b010072__T13.html,ok,1.0,policy,1,T01,T13,26.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.3076923076923077,3.0,1.0,0.0,0.0,3.292770193936991,-0.0,5.0,3.6,1.624807680927192,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.2307710457732,8.942853006809921,7.274479558773871,0.7780972294824883,0.0,0.0,1.0,4.343805421853684,0.0,7.784057002639929,41.0,4.770684624465665,1.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,4.61512051684126,1.0,2.0794415416798357,3.8066624897703196,2.0,4.406719247264253,0.024691358024691357,3.784189633918261,1.0,3.0,0.0,0.0,3.4011973816621555,0.0,0.0,0.0,2.0,1.0,0.0,1.791759469228055,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
