sample_id,url,html_path,label,quality_status,quality_score,quality_reasons
20260225__p0.fsoall.ir__6f78955721d4__real_phishing,https://p0.fsoall.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__p0.fsoall.ir__6f78955721d4.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__vl.page.ehsanranjer.ir__349dc530685e__real_phishing,https://vl.page.ehsanranjer.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__vl.page.ehsanranjer.ir__349dc530685e.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__m-ansarian.ir__aa5244c3ad32__real_phishing,https://ansarianedu.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__m-ansarian.ir__aa5244c3ad32.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__www.bamaco.ir__5c712d1ac940__real_phishing,https://www.bamaco.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__www.bamaco.ir__5c712d1ac940.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__softacc.ir__1d9402cb323f__real_phishing,https://softacc.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__softacc.ir__1d9402cb323f.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__1.artacmsco.ir__b4435b7dec63__real_phishing,https://1.artacmsco.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__1.artacmsco.ir__b4435b7dec63.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__oldclient3.cmdcloud.ir__219fd1f5e810__real_phishing,https://oldclient3.cmdcloud.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__oldclient3.cmdcloud.ir__219fd1f5e810.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__sabkezendegi.ir__33c5fc48d1d5__real_phishing,https://sabkezendegi.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__sabkezendegi.ir__33c5fc48d1d5.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__a.reymit.ir__9f0b271279a9__real_phishing,https://a.reymit.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__a.reymit.ir__9f0b271279a9.html,1,partial,0.4625,low_tag_count|low_visible_text|no_page_structure
20260225__emway.ir__3.82536e+11__real_phishing,https://emway.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__emway.ir__382536248657.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__portable.sminfo.ir__600064f4d83e__real_phishing,https://portable.sminfo.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__portable.sminfo.ir__600064f4d83e.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__super-app.ir__061fb0f58976__real_phishing,https://super-app.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__super-app.ir__061fb0f58976.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__amazoncoffee.ir__d88b03226e23__real_phishing,https://amazoncoffee.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__amazoncoffee.ir__d88b03226e23.html,1,partial,0.4626,low_tag_count|low_visible_text|no_page_structure
20260225__apple.aysooart.ir__c6afedf6327c__real_phishing,https://apple.aysooart.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__apple.aysooart.ir__c6afedf6327c.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__panelfrance.fergaltnt.ir__49f7839908ae__real_phishing,https://panelfrance.fergaltnt.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__panelfrance.fergaltnt.ir__49f7839908ae.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__applemobilemag.ir__dd2aaee0f1b1__real_phishing,https://applemobilemag.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__applemobilemag.ir__dd2aaee0f1b1.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260225__chatgpt-parsi.ir__fc9edb24c753__real_phishing,http://chatgpt-parsi.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__chatgpt-parsi.ir__fc9edb24c753.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260225__panelturkiye.fergaltnt.ir__e84023b4efdf__real_phishing,https://panelturkiye.fergaltnt.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__panelturkiye.fergaltnt.ir__e84023b4efdf.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__soniclabs.ir__aaa8ac8d9341__real_phishing,https://soniclabs.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__soniclabs.ir__aaa8ac8d9341.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__appleneeds.ir__00d811c074ce__real_phishing,https://appleneeds.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__appleneeds.ir__00d811c074ce.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__applemedicalcenter.ir__b1666d927b5e__real_phishing,https://applemedicalcenter.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__applemedicalcenter.ir__b1666d927b5e.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__appleidcity.ir__6b1fe7791b26__real_phishing,https://appleidcity.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__appleidcity.ir__6b1fe7791b26.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__becuse.erfanhub.ir__6753f51148b6__real_phishing,http://becuse.erfanhub.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__becuse.erfanhub.ir__6753f51148b6.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__karen-app.ir__340dd0dd662b__real_phishing,https://karen-app.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__karen-app.ir__340dd0dd662b.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260225__panelswed.fergaltnt.ir__81a04ee7aeee__real_phishing,https://panelswed.fergaltnt.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__panelswed.fergaltnt.ir__81a04ee7aeee.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__chatgpt.isca.ac.ir__afc1825da56a__real_phishing,https://chatgpt.isca.ac.ir/cgi-sys/defaultwebpage.cgi,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__chatgpt.isca.ac.ir__afc1825da56a.html,1,partial,0.4435,missing_title|low_tag_count|low_visible_text
20260225__panelgermany.fergaltnt.ir__92c3befa5c48__real_phishing,https://panelgermany.fergaltnt.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__panelgermany.fergaltnt.ir__92c3befa5c48.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__appleaccounts.ir__02727563123a__real_phishing,https://m-eskandari.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__appleaccounts.ir__02727563123a.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__2apples.ir__b26ddb7e2bd6__real_phishing,https://2apples.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__2apples.ir__b26ddb7e2bd6.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__borna-app.ir__f076156f8bd2__real_phishing,https://borna-app.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__borna-app.ir__f076156f8bd2.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260225__apple.fanboy.ir__3fd2a7cee82e__real_phishing,http://apple.fanboy.ir/login,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__apple.fanboy.ir__3fd2a7cee82e.html,1,blocked,0.05,challenge_or_error_page|forbidden
20260225__chatgpt-ai.ir__f00f6fd6eb3b__real_phishing,https://chatgpt-ai.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__chatgpt-ai.ir__f00f6fd6eb3b.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__appleid.afragsm.ir__6bb083931657__real_phishing,https://appleid.afragsm.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__appleid.afragsm.ir__6bb083931657.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__karmachat.jco.ir__f05f4ec2c928__real_phishing,https://karmachat.jco.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__karmachat.jco.ir__f05f4ec2c928.html,1,blocked,0.05,challenge_or_error_page|forbidden
20260128__alimir.ir__6948189a78f8__phishing,https://a1imir-l09!n.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__alimir.ir__6948189a78f8__T18.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__balad.ir__fc8e6267f038__phishing,https://ba14d-s3cur3.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__balad.ir__fc8e6267f038__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__en.tehran.ir__3a12cf683bae__phishing,https://en.tеhrаn.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__en.tehran.ir__3a12cf683bae__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__figar.ir__04ab42755e4d__phishing,https://fi9ar-$ecure.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__figar.ir__04ab42755e4d__T08.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__gisoon.negahgroup.ir__096468b36d0f__phishing,https://cdn-redirect-1.example-cdn.net/r?token=tNg4CRzhX9Si&next=https%3A%2F%2Fcdn-redirect-0.example-cdn.net%2Fr%3Ftoken%3DbnANIpY8D8Yg%26next%3Dhttps%253A%252F%252Fwww.google.com%252Furl%253Fq%253Dhttps%25253A%25252F%25252Fgisoon.negahgroup.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__gisoon.negahgroup.ir__096468b36d0f__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__hooshdadeh.ir__0ee7ef9e815a__phishing,https://$!9n1n-h0oshd4d3h.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__hooshdadeh.ir__0ee7ef9e815a__T07.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__ijn.iums.ac.ir__10a7c641fc23__phishing,https://ijn.iuma.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ijn.iums.ac.ir__10a7c641fc23__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__kayhan.ir__7d4307edbad8__phishing,https://kауhan.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__kayhan.ir__7d4307edbad8__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__khavarestan.ir__dd8a0ac4806f__phishing,https://cdn-redirect-1.example-cdn.net/r?token=EreagpfwM5iL&next=https%3A%2F%2Fcdn-redirect-0.example-cdn.net%2Fr%3Ftoken%3D6MyKxKXzW7eT%26next%3Dhttps%253A%252F%252Fwww.google.com%252Furl%253Fq%253Dhttps%25253A%25252F%25252Fkhavarestan.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__khavarestan.ir__dd8a0ac4806f__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__kums.ac.ir__1100d4d6377a__phishing,https://kums-ver!fy.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__kums.ac.ir__1100d4d6377a__T24.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__lastsecond.ir__d6913367f776__phishing,https://$19nin-1457s3cond.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__lastsecond.ir__d6913367f776__T07.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__myapp.mci.ir__e00c2e2eb2e5__phishing,https://mc1-5ign!n.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__myapp.mci.ir__e00c2e2eb2e5__T07.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__nasrnews.ir__8199f05b7003__phishing,https://xn--nrnw-53d6a8re.xn--r-evb,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__nasrnews.ir__8199f05b7003__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__newspaper.hamshahrionline.ir__e4c6f6aa56d5__phishing,https://h4m5h4hr1onlin3-$3cur3.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__newspaper.hamshahrionline.ir__e4c6f6aa56d5__T24.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__preview.alimir.ir__2208f0e10c9c__phishing,https://lo9!n-a1im1r.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__preview.alimir.ir__2208f0e10c9c__T12.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__ru.irna.ir__ba19f0e6dc32__phishing,https://irna-upd@t3.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ru.irna.ir__ba19f0e6dc32__T24.html,1,extract_error,0.0,UnsafeURL:userinfo_not_allowed
20260128__saman.mrud.ir__c7b8a5f8dba2__phishing,https://saman.mrud.ir?TCTEvQ=BLZdECm5cAPiG5PrbmKLchT0eeNtwlW9&Ad4Cu9=l7m2xUL7ozmQyLAPZXa239ogyZlSBXv1&2a6rFK=ol3nbmeanOFAEzirMSwtovww1cTeS73p&tCynS9=8HMDOxXGs1SsH6eiGTyasGCo7fIHcfZh&Sb8SCm=njPmEzZeSe6BeWsyfXM8yS9kcaAnmDbk&nnkytN=907A6FTOoTQ1LsAFqL8unvMcEL05wikx&HJqbvm=0BpJbuyHlxzESh3bs5Yjfx9HtlWsi8qp&214pAw=Ypd6bO6voB4BRjSj0bkKwu5TjttP0FPN,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__saman.mrud.ir__c7b8a5f8dba2__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__samandehi.ir__89cd6e8bad26__phishing,https://samand3h1-upd@7e.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__samandehi.ir__89cd6e8bad26__T08.html,1,extract_error,0.0,UnsafeURL:userinfo_not_allowed
20260128__shirazu.ac.ir__b7e0e7cc7701__phishing,https://xn--hrzu-63d3ti.xn--80a8a.xn--r-evb,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__shirazu.ac.ir__b7e0e7cc7701__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260128__sid.ir__4ca4f9d03a58__phishing,https://1og!n-5id.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__sid.ir__4ca4f9d03a58__T22.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__sums.ac.ir__448a1b4b394f__phishing,https://5ums-$1gn1n.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__sums.ac.ir__448a1b4b394f__T24.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__sutech.ac.ir__a2bb1a22b100__phishing,https://sutech-$ign!n.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__sutech.ac.ir__a2bb1a22b100__T07.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__ucna.ac.ir__7bbece230951__phishing,https://ucna-$!9nin.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ucna.ac.ir__7bbece230951__T24.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260128__wpex.ir__1733b7d011b1__phishing,https://wpex.8ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__wpex.ir__1733b7d011b1__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
20260129__aag.scu.ac.ir__2c581a43779d__phishing,https://5cu-ver!fy.ac.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260129__aag.scu.ac.ir__2c581a43779d__T10.html,1,extract_error,0.0,UnsafeURL:invalid_idn_hostname
20260129__alloyblog.ir__5a5cb9797d8f__phishing,https://alloyblоg.ir,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260129__alloyblog.ir__5a5cb9797d8f__T06.html,1,partial,0.5,html_too_small|low_tag_count|low_visible_text
